Cinsiyet,Kisi_Sayisi,Tatil_Turu,Atmosfer,Grup_Tipi,Yeme_Icme,Cevre,Konaklama_Tipi,Butce_TL,Onerilen_Yer,Gecelik_Fiyat_TL
Erkek,2,Doğa,Sessiz ve Aktif,Aile (Çocuksuz),Yemeksiz,Ada,Otel,14482,Mykonos - Yunanistan (Gece Hayatı),11615
Kadın,2,Macera,Sessiz,Arkadaş Grubu,Yemeksiz,Orman,Airbnb,3182,Rize - Ayder (Doğa/Orman),3873
Erkek,1,Deniz,Eğlenceli,Balayı,Sadece Kahvaltı,Deniz,Otel,11320,Phuket - Tayland (Ada/Aktif),12872
Kadın,3,Deniz,Aktif,Arkadaş Grubu,Sadece Kahvaltı,Dağ,Airbnb,3551,İzmir - Alaçatı (Eğlence/Gece Hayatı),5043
Erkek,1,Macera,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Ada,Otel,24437,Maldivler (Lüks/Ada/Balayı),26049
Erkek,2,Orman,Aktif,Arkadaş Grubu,Yemeksiz,Orman,Airbnb,13844,Santorini - Yunanistan (Deniz/Balayı),9102
Erkek,1,Kültür,Aktif,Balayı,Yemeksiz,Orman,Bungalov,2131,Antalya - Olympos (Doğa/Bungalov),2712
Kadın,5,Deniz,Eğlenceli,Tek Kişi,Yemeksiz,Havuz,Otel,15029,Las Vegas - ABD (Gece Hayatı/Eğlence),15224
Kadın,1,Macera,Sessiz,Tek Kişi,Her Şey Dahil,Ada,Otel,23390,Maldivler (Lüks/Ada/Balayı),24980
Erkek,5,Macera,Gece Hayatı,Balayı,Her Şey Dahil,Havuz,Bungalov,7856,Antalya - Kaş (Deniz/Eğlence),3641
Kadın,6,Doğa,Sessiz,Balayı,Her Şey Dahil,Deniz,Villa,8757,Rize - Ayder (Doğa/Orman),4559
Erkek,4,Deniz,Sessiz ve Aktif,Aile (Bebekli),Her Şey Dahil,Dağ,Airbnb,27719,Maldivler (Lüks/Ada/Balayı),24595
Erkek,6,Orman,Sessiz ve Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Ada,Bungalov,13110,Mykonos - Yunanistan (Gece Hayatı),10268
Kadın,3,Doğa,Sessiz,Arkadaş Grubu,Her Şey Dahil,Deniz,Villa,14904,Las Vegas - ABD (Gece Hayatı/Eğlence),16039
Kadın,1,Macera,Sessiz,Aile (Bebekli),Yemeksiz,Ada,Otel,14196,Santorini - Yunanistan (Deniz/Balayı),9459
Erkek,5,Kültür,Sessiz ve Aktif,Tek Kişi,Yemeksiz,Deniz,Villa,14362,Bali - Endonezya (Doğa/Egzotik),15709
Erkek,1,Macera,Eğlenceli,Tek Kişi,Yemeksiz,Havuz,Villa,4118,Nevşehir - Kapadokya (Macera/Balayı),5874
Kadın,5,Kültür,Aktif,Balayı,Her Şey Dahil,Dağ,Villa,1189,Antalya - Olympos (Doğa/Bungalov),2319
Kadın,4,Doğa,Sessiz,Tek Kişi,Her Şey Dahil,Dağ,Villa,7577,Bolu - Yedigöller (Doğa/Sessiz),2919
Erkek,3,Deniz,Gece Hayatı,Aile (Çocuksuz),Her Şey Dahil,Orman,Airbnb,17262,Las Vegas - ABD (Gece Hayatı/Eğlence),17383
Erkek,3,Kültür,Eğlenceli,Aile (Bebekli),Her Şey Dahil,Havuz,Airbnb,3820,Rize - Ayder (Doğa/Orman),4897
Kadın,6,Doğa,Sessiz,Balayı,Her Şey Dahil,Ada,Airbnb,3530,İzmir - Alaçatı (Eğlence/Gece Hayatı),4426
Kadın,4,Deniz,Sessiz,Balayı,Sadece Kahvaltı,Dağ,Villa,12871,Santorini - Yunanistan (Deniz/Balayı),10137
Erkek,4,Kültür,Sessiz ve Aktif,Balayı,Sadece Kahvaltı,Ada,Bungalov,14413,Bali - Endonezya (Doğa/Egzotik),15911
Kadın,4,Doğa,Sessiz,Balayı,Sadece Kahvaltı,Ada,Bungalov,9156,Muğla - Fethiye (Deniz/Macera),5166
Erkek,4,Macera,Aktif,Balayı,Sadece Kahvaltı,Orman,Otel,5357,Rize - Ayder (Doğa/Orman),4808
Erkek,5,Macera,Aktif,Balayı,Yemeksiz,Orman,Villa,3047,Antalya - Kaş (Deniz/Eğlence),3533
Kadın,3,Orman,Sessiz ve Aktif,Aile (Bebekli),Sadece Kahvaltı,Dağ,Villa,19230,Norveç Fiyortları (Doğa/Macera),19074
Kadın,4,Orman,Gece Hayatı,Tek Kişi,Her Şey Dahil,Havuz,Villa,7645,Amsterdam - Hollanda (Eğlence/Aktif),7347
Erkek,4,Kültür,Eğlenceli,Arkadaş Grubu,Yemeksiz,Havuz,Bungalov,25776,Maldivler (Lüks/Ada/Balayı),27335
Erkek,5,Macera,Gece Hayatı,Arkadaş Grubu,Sadece Kahvaltı,Deniz,Villa,4911,İzmir - Alaçatı (Eğlence/Gece Hayatı),5739
Kadın,6,Macera,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Orman,Villa,17960,İsviçre Alpleri (Dağ/Doğa),17455
Kadın,4,Orman,Eğlenceli,Aile (Çocuksuz),Yemeksiz,Deniz,Otel,4005,Bolu - Yedigöller (Doğa/Sessiz),1958
Erkek,6,Kültür,Gece Hayatı,Aile (Çocuksuz),Sadece Kahvaltı,Havuz,Otel,16800,Bali - Endonezya (Doğa/Egzotik),16674
Erkek,4,Deniz,Aktif,Arkadaş Grubu,Yemeksiz,Orman,Bungalov,20472,Bali - Endonezya (Doğa/Egzotik),15927
Kadın,4,Kültür,Sessiz ve Aktif,Tek Kişi,Yemeksiz,Dağ,Otel,13637,Santorini - Yunanistan (Deniz/Balayı),11118
Erkek,3,Deniz,Sessiz,Balayı,Sadece Kahvaltı,Ada,Airbnb,4005,Rize - Ayder (Doğa/Orman),4977
Erkek,4,Deniz,Sessiz,Balayı,Sadece Kahvaltı,Ada,Otel,14890,Machu Picchu - Peru (Macera/Kültür),14360
Kadın,2,Doğa,Sessiz ve Aktif,Arkadaş Grubu,Yemeksiz,Dağ,Villa,11974,Phuket - Tayland (Ada/Aktif),13240
Erkek,4,Kültür,Sessiz,Balayı,Yemeksiz,Deniz,Otel,27076,Seyşeller (Lüks/Ada),28204
Erkek,5,Orman,Gece Hayatı,Balayı,Her Şey Dahil,Deniz,Villa,14374,Machu Picchu - Peru (Macera/Kültür),13658
Erkek,1,Orman,Sessiz,Arkadaş Grubu,Sadece Kahvaltı,Orman,Airbnb,18696,Machu Picchu - Peru (Macera/Kültür),13933
Erkek,3,Macera,Eğlenceli,Aile (Bebekli),Yemeksiz,Ada,Otel,10506,Santorini - Yunanistan (Deniz/Balayı),10980
Erkek,2,Orman,Gece Hayatı,Balayı,Sadece Kahvaltı,Ada,Villa,9304,İzmir - Alaçatı (Eğlence/Gece Hayatı),4805
Kadın,1,Doğa,Eğlenceli,Balayı,Yemeksiz,Havuz,Villa,13296,Machu Picchu - Peru (Macera/Kültür),14507
Kadın,1,Orman,Eğlenceli,Balayı,Her Şey Dahil,Dağ,Villa,1289,Antalya - Olympos (Doğa/Bungalov),1482
Kadın,1,Doğa,Aktif,Arkadaş Grubu,Yemeksiz,Deniz,Villa,19344,İsviçre Alpleri (Dağ/Doğa),17671
Erkek,1,Macera,Gece Hayatı,Balayı,Her Şey Dahil,Ada,Villa,13173,Phuket - Tayland (Ada/Aktif),13457
Kadın,4,Kültür,Eğlenceli,Arkadaş Grubu,Sadece Kahvaltı,Orman,Otel,19302,Kenya - Masai Mara Safari (Macera/Orman),17318
Kadın,1,Deniz,Sessiz ve Aktif,Tek Kişi,Sadece Kahvaltı,Orman,Bungalov,21543,Norveç Fiyortları (Doğa/Macera),19285
Erkek,1,Doğa,Aktif,Tek Kişi,Yemeksiz,Ada,Otel,22239,Norveç Fiyortları (Doğa/Macera),22002
Kadın,1,Deniz,Eğlenceli,Aile (Çocuksuz),Yemeksiz,Dağ,Bungalov,5171,Antalya - Kaş (Deniz/Eğlence),4494
Erkek,4,Kültür,Gece Hayatı,Aile (Bebekli),Her Şey Dahil,Havuz,Otel,7646,Bolu - Yedigöller (Doğa/Sessiz),2927
Erkek,3,Doğa,Eğlenceli,Balayı,Yemeksiz,Havuz,Airbnb,34270,Seyşeller (Lüks/Ada),29675
Kadın,3,Orman,Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Dağ,Villa,4456,Antalya - Olympos (Doğa/Bungalov),1712
Erkek,4,Kültür,Sessiz ve Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Deniz,Airbnb,18077,Kenya - Masai Mara Safari (Macera/Orman),17538
Kadın,5,Orman,Sessiz ve Aktif,Balayı,Yemeksiz,Deniz,Bungalov,4354,Antalya - Olympos (Doğa/Bungalov),2849
Kadın,1,Orman,Sessiz,Balayı,Her Şey Dahil,Havuz,Bungalov,15944,Mykonos - Yunanistan (Gece Hayatı),13061
Kadın,1,Orman,Eğlenceli,Balayı,Her Şey Dahil,Deniz,Airbnb,16207,Santorini - Yunanistan (Deniz/Balayı),11215
Erkek,4,Doğa,Eğlenceli,Arkadaş Grubu,Yemeksiz,Dağ,Otel,12431,Mykonos - Yunanistan (Gece Hayatı),13140
Erkek,2,Deniz,Sessiz ve Aktif,Arkadaş Grubu,Sadece Kahvaltı,Orman,Otel,7673,Antalya - Olympos (Doğa/Bungalov),3347
Kadın,5,Deniz,Eğlenceli,Aile (Bebekli),Yemeksiz,Orman,Villa,20447,Machu Picchu - Peru (Macera/Kültür),16116
Kadın,6,Doğa,Aktif,Aile (Bebekli),Sadece Kahvaltı,Deniz,Otel,17890,Bali - Endonezya (Doğa/Egzotik),14745
Kadın,1,Doğa,Sessiz,Aile (Çocuksuz),Her Şey Dahil,Deniz,Villa,5568,Rize - Ayder (Doğa/Orman),1728
Kadın,5,Deniz,Sessiz,Balayı,Yemeksiz,Deniz,Villa,5023,İzmir - Alaçatı (Eğlence/Gece Hayatı),3806
Kadın,1,Macera,Gece Hayatı,Aile (Çocuksuz),Sadece Kahvaltı,Ada,Bungalov,18744,Phuket - Tayland (Ada/Aktif),14173
Erkek,6,Macera,Eğlenceli,Arkadaş Grubu,Her Şey Dahil,Dağ,Airbnb,10296,Phuket - Tayland (Ada/Aktif),11767
Erkek,2,Deniz,Aktif,Tek Kişi,Her Şey Dahil,Deniz,Villa,17964,Bali - Endonezya (Doğa/Egzotik),16170
Erkek,2,Macera,Gece Hayatı,Tek Kişi,Her Şey Dahil,Dağ,Airbnb,11944,Phuket - Tayland (Ada/Aktif),12231
Kadın,3,Orman,Sessiz,Arkadaş Grubu,Yemeksiz,Deniz,Villa,8082,Santorini - Yunanistan (Deniz/Balayı),8797
Erkek,4,Doğa,Sessiz ve Aktif,Aile (Bebekli),Her Şey Dahil,Orman,Villa,26367,Norveç Fiyortları (Doğa/Macera),22413
Kadın,2,Kültür,Eğlenceli,Arkadaş Grubu,Her Şey Dahil,Dağ,Otel,1453,Bolu - Yedigöller (Doğa/Sessiz),2055
Erkek,2,Orman,Eğlenceli,Arkadaş Grubu,Her Şey Dahil,Deniz,Villa,17349,Phuket - Tayland (Ada/Aktif),12486
Kadın,6,Kültür,Sessiz,Tek Kişi,Sadece Kahvaltı,Ada,Bungalov,5154,Antalya - Kaş (Deniz/Eğlence),3945
Kadın,4,Doğa,Sessiz,Arkadaş Grubu,Yemeksiz,Havuz,Otel,12061,Amsterdam - Hollanda (Eğlence/Aktif),9426
Kadın,1,Orman,Eğlenceli,Arkadaş Grubu,Her Şey Dahil,Deniz,Airbnb,29628,Maldivler (Lüks/Ada/Balayı),26799
Kadın,6,Kültür,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Orman,Otel,8814,Bolu - Yedigöller (Doğa/Sessiz),4193
Erkek,2,Macera,Sessiz,Arkadaş Grubu,Her Şey Dahil,Ada,Villa,8185,Amsterdam - Hollanda (Eğlence/Aktif),8991
Erkek,3,Deniz,Eğlenceli,Aile (Bebekli),Sadece Kahvaltı,Deniz,Otel,29093,Seyşeller (Lüks/Ada),29369
Kadın,5,Doğa,Aktif,Arkadaş Grubu,Yemeksiz,Orman,Otel,8436,Amsterdam - Hollanda (Eğlence/Aktif),10273
Erkek,4,Orman,Gece Hayatı,Aile (Çocuksuz),Her Şey Dahil,Dağ,Otel,5566,Rize - Ayder (Doğa/Orman),2000
Erkek,1,Macera,Sessiz,Aile (Bebekli),Her Şey Dahil,Havuz,Airbnb,2073,Antalya - Olympos (Doğa/Bungalov),3624
Erkek,4,Macera,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Orman,Otel,17437,Bali - Endonezya (Doğa/Egzotik),14734
Erkek,5,Orman,Eğlenceli,Balayı,Sadece Kahvaltı,Dağ,Villa,22161,Norveç Fiyortları (Doğa/Macera),19564
Kadın,4,Deniz,Sessiz ve Aktif,Arkadaş Grubu,Yemeksiz,Dağ,Otel,5086,İzmir - Alaçatı (Eğlence/Gece Hayatı),4306
Erkek,3,Kültür,Sessiz,Tek Kişi,Yemeksiz,Orman,Bungalov,6149,Antalya - Kaş (Deniz/Eğlence),5763
Erkek,3,Kültür,Eğlenceli,Balayı,Yemeksiz,Ada,Bungalov,15399,Phuket - Tayland (Ada/Aktif),12023
Erkek,2,Doğa,Sessiz,Tek Kişi,Sadece Kahvaltı,Deniz,Otel,3937,Nevşehir - Kapadokya (Macera/Balayı),2512
Kadın,4,Doğa,Sessiz,Aile (Çocuksuz),Yemeksiz,Havuz,Otel,14445,İbiza - İspanya (Gece Hayatı/Deniz),11687
Kadın,4,Orman,Eğlenceli,Balayı,Yemeksiz,Ada,Otel,14392,Bali - Endonezya (Doğa/Egzotik),14090
Kadın,4,Deniz,Eğlenceli,Aile (Çocuksuz),Sadece Kahvaltı,Deniz,Bungalov,15573,İbiza - İspanya (Gece Hayatı/Deniz),13528
Kadın,2,Kültür,Aktif,Aile (Çocuksuz),Yemeksiz,Ada,Villa,18378,Las Vegas - ABD (Gece Hayatı/Eğlence),15966
Erkek,4,Orman,Sessiz,Aile (Bebekli),Sadece Kahvaltı,Deniz,Bungalov,28661,Maldivler (Lüks/Ada/Balayı),27281
Kadın,6,Doğa,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Deniz,Bungalov,6105,Rize - Ayder (Doğa/Orman),4946
Kadın,2,Macera,Gece Hayatı,Arkadaş Grubu,Her Şey Dahil,Orman,Otel,16602,Bali - Endonezya (Doğa/Egzotik),14370
Kadın,1,Deniz,Gece Hayatı,Balayı,Her Şey Dahil,Orman,Airbnb,15764,Kenya - Masai Mara Safari (Macera/Orman),17354
Erkek,6,Deniz,Sessiz,Balayı,Yemeksiz,Ada,Bungalov,22481,Maldivler (Lüks/Ada/Balayı),24138
Kadın,2,Orman,Gece Hayatı,Tek Kişi,Her Şey Dahil,Havuz,Bungalov,4214,Antalya - Olympos (Doğa/Bungalov),2036
Erkek,6,Macera,Aktif,Tek Kişi,Yemeksiz,Dağ,Airbnb,19584,İsviçre Alpleri (Dağ/Doğa),20282
Kadın,5,Macera,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Orman,Airbnb,17908,Machu Picchu - Peru (Macera/Kültür),13945
Erkek,3,Deniz,Eğlenceli,Balayı,Her Şey Dahil,Havuz,Bungalov,7723,Muğla - Fethiye (Deniz/Macera),5058
Erkek,2,Kültür,Gece Hayatı,Balayı,Sadece Kahvaltı,Deniz,Bungalov,10520,Mykonos - Yunanistan (Gece Hayatı),10303
Erkek,4,Deniz,Sessiz ve Aktif,Arkadaş Grubu,Sadece Kahvaltı,Orman,Villa,4941,İzmir - Alaçatı (Eğlence/Gece Hayatı),6941
Erkek,5,Kültür,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Orman,Villa,14321,Machu Picchu - Peru (Macera/Kültür),14337
Kadın,5,Macera,Gece Hayatı,Aile (Çocuksuz),Sadece Kahvaltı,Deniz,Bungalov,18091,Las Vegas - ABD (Gece Hayatı/Eğlence),15076
Erkek,6,Deniz,Sessiz ve Aktif,Arkadaş Grubu,Sadece Kahvaltı,Orman,Bungalov,6395,Antalya - Kaş (Deniz/Eğlence),3028
Kadın,3,Macera,Eğlenceli,Tek Kişi,Her Şey Dahil,Havuz,Otel,18462,Kenya - Masai Mara Safari (Macera/Orman),17579
Erkek,2,Kültür,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Ada,Otel,2119,Rize - Ayder (Doğa/Orman),2181
Erkek,4,Kültür,Sessiz ve Aktif,Aile (Bebekli),Sadece Kahvaltı,Havuz,Otel,11532,Amsterdam - Hollanda (Eğlence/Aktif),8381
Erkek,6,Deniz,Aktif,Balayı,Yemeksiz,Deniz,Bungalov,11987,Mykonos - Yunanistan (Gece Hayatı),10105
Erkek,5,Macera,Sessiz ve Aktif,Arkadaş Grubu,Her Şey Dahil,Deniz,Villa,16547,Kenya - Masai Mara Safari (Macera/Orman),18081
Erkek,5,Macera,Sessiz,Aile (Çocuksuz),Yemeksiz,Deniz,Bungalov,17233,Bali - Endonezya (Doğa/Egzotik),15689
Kadın,2,Deniz,Gece Hayatı,Balayı,Yemeksiz,Deniz,Otel,6701,Nevşehir - Kapadokya (Macera/Balayı),2504
Erkek,3,Orman,Gece Hayatı,Arkadaş Grubu,Her Şey Dahil,Havuz,Otel,13258,Mykonos - Yunanistan (Gece Hayatı),10045
Kadın,1,Deniz,Aktif,Arkadaş Grubu,Her Şey Dahil,Orman,Otel,24534,Norveç Fiyortları (Doğa/Macera),19712
Kadın,6,Doğa,Eğlenceli,Aile (Çocuksuz),Sadece Kahvaltı,Havuz,Otel,10707,İzmir - Alaçatı (Eğlence/Gece Hayatı),5986
Erkek,3,Doğa,Gece Hayatı,Tek Kişi,Her Şey Dahil,Deniz,Otel,11113,İzmir - Alaçatı (Eğlence/Gece Hayatı),6748
Kadın,6,Macera,Aktif,Aile (Çocuksuz),Yemeksiz,Deniz,Airbnb,30146,Seyşeller (Lüks/Ada),27094
Kadın,5,Kültür,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Deniz,Otel,25185,Maldivler (Lüks/Ada/Balayı),27144
Kadın,6,Orman,Aktif,Balayı,Sadece Kahvaltı,Orman,Bungalov,3960,Bolu - Yedigöller (Doğa/Sessiz),2132
Erkek,5,Kültür,Gece Hayatı,Balayı,Her Şey Dahil,Havuz,Villa,26710,Maldivler (Lüks/Ada/Balayı),26421
Erkek,6,Kültür,Gece Hayatı,Aile (Bebekli),Sadece Kahvaltı,Deniz,Otel,19600,Las Vegas - ABD (Gece Hayatı/Eğlence),15086
Kadın,2,Doğa,Eğlenceli,Tek Kişi,Her Şey Dahil,Havuz,Airbnb,16909,Kenya - Masai Mara Safari (Macera/Orman),15663
Kadın,6,Macera,Gece Hayatı,Arkadaş Grubu,Sadece Kahvaltı,Dağ,Bungalov,6496,İzmir - Alaçatı (Eğlence/Gece Hayatı),4512
Erkek,5,Kültür,Sessiz,Aile (Bebekli),Yemeksiz,Ada,Otel,17824,Bali - Endonezya (Doğa/Egzotik),17155
Kadın,4,Deniz,Aktif,Tek Kişi,Yemeksiz,Havuz,Bungalov,5749,Bolu - Yedigöller (Doğa/Sessiz),3782
Erkek,6,Kültür,Sessiz ve Aktif,Tek Kişi,Yemeksiz,Havuz,Bungalov,18175,Las Vegas - ABD (Gece Hayatı/Eğlence),17273
Erkek,6,Kültür,Sessiz,Arkadaş Grubu,Yemeksiz,Ada,Airbnb,19143,Las Vegas - ABD (Gece Hayatı/Eğlence),14971
Erkek,5,Doğa,Eğlenceli,Aile (Bebekli),Her Şey Dahil,Deniz,Airbnb,22447,İsviçre Alpleri (Dağ/Doğa),18725
Erkek,2,Doğa,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Havuz,Bungalov,1206,Bolu - Yedigöller (Doğa/Sessiz),2957
Erkek,4,Macera,Sessiz ve Aktif,Aile (Bebekli),Yemeksiz,Ada,Airbnb,14152,Bali - Endonezya (Doğa/Egzotik),16110
Kadın,4,Kültür,Sessiz,Aile (Çocuksuz),Her Şey Dahil,Deniz,Airbnb,5559,İzmir - Alaçatı (Eğlence/Gece Hayatı),5680
Kadın,3,Kültür,Eğlenceli,Aile (Bebekli),Her Şey Dahil,Ada,Villa,18166,Kenya - Masai Mara Safari (Macera/Orman),17410
Kadın,1,Macera,Gece Hayatı,Aile (Çocuksuz),Her Şey Dahil,Orman,Bungalov,12146,Amsterdam - Hollanda (Eğlence/Aktif),10375
Kadın,2,Doğa,Sessiz,Balayı,Yemeksiz,Deniz,Otel,9049,Antalya - Kaş (Deniz/Eğlence),5404
Erkek,3,Doğa,Sessiz,Arkadaş Grubu,Yemeksiz,Deniz,Otel,14810,Bali - Endonezya (Doğa/Egzotik),14082
Erkek,5,Deniz,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Dağ,Villa,13023,Las Vegas - ABD (Gece Hayatı/Eğlence),14220
Erkek,1,Macera,Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Orman,Airbnb,14528,Machu Picchu - Peru (Macera/Kültür),14658
Erkek,5,Orman,Aktif,Arkadaş Grubu,Sadece Kahvaltı,Havuz,Bungalov,29423,Seyşeller (Lüks/Ada),30012
Erkek,2,Deniz,Aktif,Arkadaş Grubu,Sadece Kahvaltı,Ada,Bungalov,2414,Muğla - Fethiye (Deniz/Macera),3946
Erkek,2,Orman,Gece Hayatı,Tek Kişi,Yemeksiz,Ada,Otel,3243,Muğla - Fethiye (Deniz/Macera),4219
Kadın,5,Deniz,Sessiz,Balayı,Sadece Kahvaltı,Ada,Otel,2766,Bolu - Yedigöller (Doğa/Sessiz),3056
Kadın,4,Doğa,Eğlenceli,Aile (Çocuksuz),Yemeksiz,Dağ,Airbnb,29912,Seyşeller (Lüks/Ada),27324
Erkek,4,Deniz,Sessiz ve Aktif,Aile (Çocuksuz),Yemeksiz,Deniz,Villa,14734,Bali - Endonezya (Doğa/Egzotik),14741
Kadın,4,Orman,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Dağ,Villa,13021,Machu Picchu - Peru (Macera/Kültür),14035
Kadın,1,Kültür,Sessiz,Aile (Bebekli),Sadece Kahvaltı,Dağ,Airbnb,12391,Amsterdam - Hollanda (Eğlence/Aktif),9446
Erkek,1,Doğa,Sessiz,Balayı,Her Şey Dahil,Ada,Bungalov,6593,Bolu - Yedigöller (Doğa/Sessiz),2822
